"name","description"
"Introdução","O Ícaro mostra o que será desenvolvido nesse mini-projeto"
"Participando do projeto no Codante.io","Vamos acessar o Codante e baixar o projeto"
"Iniciando o projeto e configurando o Next","Neste segmento, o Ícaro começa o projeto e faz as configurações iniciais no Next, como a limpeza de arquivos que não vão ser utilizados"
"Criando a estrutura da página inicial","Vamos criar nossa página home e começar a estruturar as informações"
"Criando a listagem de hábitos","Nesta parte, o Ícaro trabalha na criação de uma lista para os hábitos, inicialmente lendo os dados direto do código"
"Implementando a lógica de mostrar os últimos 7 dias","Vamos implementar a funcionalidade para mostrar os hábitos dos últimos 7 dias, vamos começar a trabalhar com o Date do JavaScript"
"Criando o formulário","Vamos criar um formulário para cadastrar um novo hábito"
"Salvando os hábitos no banco de dados","Vamos implementar a funcionalidade de salvar os hábitos no banco de dados criando nossa primeira Server Action"
"Criando a página de detalhes do hábito","Neste segmento, o Ícaro começa a criar uma página de detalhes para cada hábito"
"Mostrando os hábitos no calendário","Vamos usar o Date do JavaScript para criar a a funcionalidade de mostrar os hábitos em um calendário"
"Implementando as actions de deletar e marcar um hábito","Aqui vamos usar Server Actions para deletar ou marcar um hábito"
"Fazendo o deploy e concluindo o projeto","Agora é só finalizar e fazer o deploy!"
